id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
4425.0,1,1,1,1,3,1,1
4435.0,3,3,3,5,3,5,3
4450.0,5,5,1,1,5,1,1
4454.0,3,3,3,3,3,3,3
4457.0,1,1,1,5,1,1,5
4467.0,3,5,5,1,1,1,5
4472.0,1,1,1,1,1,5,1
4484.0,1,5,3,1,1,1,5
4494.0,1,3,1,1,1,5,1
4512.0,1,3,1,1,1,1,3
4520.0,1,1,1,1,1,1,1
4524.0,1,1,1,1,1,1,1
4552.0,1,3,5,1,1,1,3
4565.0,1,1,5,1,1,1,3
4569.0,3,3,3,1,1,1,3
4574.0,1,1,3,1,1,1,1
4575.0,1,1,1,1,1,1,1
4576.0,1,1,1,1,1,1,1
4582.0,3,5,5,5,1,1,1
4584.0,1,5,5,1,5,1,3
4599.0,3,3,3,5,1,5,3
4613.0,1,1,5,1,1,1,1
4615.0,1,3,3,3,1,1,1
4626.0,5,5,5,3,3,1,5
4630.0,1,1,5,1,1,5,3
4637.0,3,1,5,1,5,1,5
4638.0,5,3,5,1,1,1,1
4642.0,5,5,5,1,3,1,5
4652.0,5,5,3,1,5,1,1
4663.0,1,1,1,1,5,1,1
4676.0,1,1,1,5,1,3,1
4683.0,3,3,5,5,3,3,3
4692.0,1,1,5,1,5,5,5
4705.0,1,1,1,5,1,1,1
4707.0,1,3,5,3,1,1,5
4731.0,1,3,1,1,5,1,1
4734.0,5,5,5,1,5,5,5
4737.0,1,1,5,5,5,3,1
4738.0,5,5,5,1,1,1,1
4763.0,1,3,5,1,1,1,1
4765.0,1,1,5,1,1,1,1
4777.0,1,1,1,1,1,1,1
4787.0,5,1,5,5,1,1,5
4793.0,1,1,5,5,5,1,5
4797.0,1,1,5,5,1,1,5
4801.0,1,1,5,1,1,1,3
4804.0,5,5,5,3,1,3,5
4806.0,1,1,1,5,1,1,1
4812.0,1,1,1,1,5,1,1
4822.0,1,1,5,1,1,1,3
4841.0,3,3,3,3,3,1,5
4849.0,1,3,3,1,1,5,1
4852.0,1,5,1,1,1,5,1
4856.0,1,1,5,1,1,1,1
