id,REGION,EDUCATIONFOURRANGES,POLITICAL3RANGES,RACEETHNICITY5RANGES,RELIGION
2105.0,3.0,4.0,3.0,4.0,5.0
2106.0,2.0,2.0,1.0,4.0,5.0
2121.0,1.0,4.0,3.0,4.0,5.0
2130.0,2.0,4.0,1.0,4.0,2.0
2168.0,4.0,4.0,3.0,4.0,5.0
2177.0,4.0,4.0,2.0,5.0,4.0
2183.0,1.0,4.0,2.0,2.0,5.0
2189.0,4.0,4.0,3.0,4.0,4.0
2198.0,2.0,3.0,3.0,4.0,5.0
2222.0,3.0,4.0,3.0,4.0,5.0
2223.0,4.0,4.0,2.0,4.0,1.0
2224.0,1.0,3.0,3.0,4.0,4.0
2229.0,1.0,4.0,3.0,4.0,4.0
2246.0,3.0,2.0,2.0,4.0,1.0
2256.0,3.0,4.0,3.0,4.0,1.0
2260.0,1.0,4.0,3.0,4.0,2.0
2265.0,3.0,3.0,3.0,4.0,5.0
2266.0,1.0,4.0,2.0,4.0,5.0
2281.0,1.0,3.0,3.0,4.0,1.0
2289.0,2.0,3.0,1.0,4.0,1.0
2302.0,2.0,4.0,2.0,4.0,1.0
2314.0,3.0,3.0,1.0,4.0,5.0
2332.0,3.0,3.0,2.0,4.0,5.0
2344.0,4.0,4.0,2.0,4.0,5.0
2347.0,4.0,3.0,3.0,4.0,5.0
2349.0,3.0,4.0,1.0,4.0,1.0
2360.0,3.0,3.0,3.0,4.0,5.0
2392.0,1.0,3.0,3.0,4.0,4.0
2397.0,1.0,4.0,3.0,4.0,1.0
2403.0,2.0,4.0,3.0,4.0,3.0
2406.0,2.0,3.0,2.0,4.0,1.0
2410.0,4.0,3.0,2.0,4.0,2.0
2418.0,2.0,4.0,2.0,4.0,1.0
2419.0,2.0,3.0,2.0,4.0,5.0
2421.0,3.0,4.0,3.0,4.0,4.0
2444.0,4.0,4.0,3.0,5.0,5.0
2466.0,4.0,4.0,3.0,4.0,1.0
2475.0,3.0,3.0,2.0,4.0,1.0
2476.0,2.0,4.0,1.0,4.0,1.0
2481.0,4.0,4.0,3.0,4.0,5.0
2485.0,4.0,4.0,2.0,4.0,5.0
2496.0,4.0,3.0,3.0,4.0,5.0
2497.0,3.0,4.0,2.0,4.0,2.0
2502.0,1.0,4.0,3.0,1.0,5.0
2505.0,2.0,4.0,3.0,4.0,1.0
2507.0,4.0,4.0,2.0,4.0,5.0
2513.0,3.0,4.0,2.0,4.0,1.0
2518.0,3.0,4.0,3.0,4.0,5.0
2531.0,4.0,4.0,3.0,4.0,5.0
2540.0,4.0,2.0,1.0,4.0,5.0
2554.0,3.0,4.0,3.0,3.0,1.0
2556.0,1.0,4.0,3.0,4.0,4.0
2558.0,3.0,3.0,3.0,4.0,1.0
2565.0,3.0,4.0,2.0,2.0,5.0
2589.0,1.0,4.0,3.0,4.0,5.0
2607.0,3.0,2.0,1.0,4.0,1.0
2627.0,4.0,4.0,3.0,4.0,1.0
2629.0,1.0,3.0,3.0,4.0,2.0
2636.0,2.0,4.0,3.0,4.0,5.0
2660.0,4.0,4.0,2.0,4.0,1.0
2666.0,3.0,3.0,3.0,4.0,1.0
2685.0,4.0,3.0,2.0,4.0,5.0
2686.0,4.0,4.0,2.0,4.0,5.0
2707.0,2.0,3.0,2.0,4.0,1.0
2712.0,2.0,4.0,3.0,4.0,5.0
2727.0,3.0,4.0,2.0,2.0,5.0
2762.0,4.0,4.0,3.0,2.0,3.0
2764.0,1.0,2.0,1.0,4.0,1.0
2770.0,3.0,4.0,3.0,4.0,1.0
2780.0,2.0,4.0,1.0,4.0,5.0
2791.0,1.0,4.0,2.0,4.0,5.0
2793.0,4.0,4.0,3.0,4.0,5.0
2803.0,4.0,4.0,3.0,4.0,5.0
2806.0,4.0,2.0,1.0,4.0,1.0
2817.0,3.0,4.0,3.0,4.0,2.0
2819.0,3.0,3.0,2.0,1.0,1.0
2823.0,1.0,4.0,1.0,4.0,5.0
2829.0,1.0,4.0,1.0,5.0,1.0
2849.0,4.0,4.0,2.0,2.0,5.0
2850.0,2.0,4.0,3.0,4.0,3.0
2862.0,2.0,4.0,1.0,4.0,1.0
2885.0,2.0,4.0,3.0,4.0,4.0
2914.0,1.0,3.0,1.0,4.0,1.0
2916.0,2.0,4.0,3.0,4.0,5.0
2928.0,1.0,2.0,3.0,4.0,1.0
2935.0,4.0,4.0,2.0,4.0,5.0
2949.0,2.0,4.0,3.0,4.0,5.0
2961.0,3.0,4.0,1.0,3.0,1.0
2966.0,3.0,2.0,3.0,4.0,1.0
2971.0,3.0,2.0,1.0,4.0,1.0
2977.0,4.0,4.0,3.0,4.0,5.0
2980.0,4.0,3.0,1.0,4.0,5.0
3000.0,3.0,4.0,3.0,4.0,1.0
3001.0,4.0,4.0,2.0,4.0,1.0
3006.0,2.0,4.0,2.0,1.0,1.0
3013.0,2.0,4.0,3.0,1.0,1.0
3014.0,3.0,3.0,3.0,4.0,5.0
3035.0,2.0,3.0,2.0,4.0,3.0
3042.0,3.0,4.0,2.0,4.0,1.0
3051.0,1.0,4.0,1.0,4.0,1.0
3065.0,3.0,3.0,2.0,4.0,4.0
3114.0,4.0,4.0,1.0,2.0,5.0
3142.0,2.0,4.0,3.0,4.0,5.0
3143.0,4.0,4.0,3.0,5.0,5.0
3175.0,3.0,4.0,3.0,4.0,2.0
3178.0,4.0,4.0,2.0,2.0,5.0
3183.0,4.0,3.0,2.0,4.0,1.0
3214.0,1.0,4.0,2.0,4.0,1.0
3222.0,3.0,4.0,2.0,5.0,4.0
3226.0,3.0,3.0,3.0,4.0,5.0
3238.0,2.0,3.0,2.0,4.0,4.0
3247.0,2.0,4.0,3.0,4.0,2.0
3249.0,3.0,4.0,2.0,4.0,1.0
3278.0,4.0,4.0,3.0,4.0,5.0
3291.0,4.0,3.0,3.0,2.0,5.0
